,brand,title,Price,Link
103,Showa,"14"" Chemical Resistant Gloves, Neoprene, 10, 1 PR",product price: $9.99,https://www.zoro.com//showa-14-chemical-resistant-gloves-neoprene-10-1-pr-6784/i/G3473687/
104,Mcr Safety,"12"" Chemical Resistant Gloves, PVC, L, 12PK",product price: $59.29,https://www.zoro.com//mcr-safety-12-chemical-resistant-gloves-pvc-l-12pk-6710fs/i/G4122091/
105,Ansell,"14"" Chemical Resistant Gloves, Butyl, 9, 1 PR",product price: $44.79,https://www.zoro.com//ansell-14-chemical-resistant-gloves-butyl-9-1-pr-38-514/i/G6603410/
106,Mcr Safety,"Coated Gloves, L, Natural, Unlined, PK12",product price: $11.99,https://www.zoro.com//mcr-safety-coated-gloves-l-natural-unlined-pk12-8100a/i/G3312569/
107,Ironclad Performance Wear,"Knit Gloves, A6 Cut Level, 13 ga, Gray, M ( 8 )",product price: $11.35,https://www.zoro.com//ironclad-performance-wear-knit-gloves-a6-cut-level-13-ga-gray-m-8-kci5sn-03-m/i/G006439238/
108,Nitrilite,"Cleanroom Gloves, Nitrile, M, 5 mil, PK100",product price: $29.09,https://www.zoro.com//nitrilite-cleanroom-gloves-nitrile-m-5-mil-pk100-93-311/i/G0051536/
109,Showa,"7500PF, Nitrile, Disposable, Biodegradable, 4 mil Palm, Nitrile, Powder-Free, S ( 7 ), 100 PK, Blue",product price: $12.15,https://www.zoro.com//showa-7500pf-nitrile-disposable-biodegradable-4-mil-palm-nitrile-powder-free-s-7-100-pk-blue-7500pfs/i/G906124494/
110,Techniche,"Hand Warmer, 2 In x 3-1/2 In, PR, PK10",new price: $7.09,https://www.zoro.com//techniche-hand-warmer-2-in-x-3-12-in-pr-pk10-5551/i/G4778252/
111,Pip,"Nitrile Foam Coated Gloves, ATG, M, PK12",product price: $62.89,https://www.zoro.com//pip-nitrile-foam-coated-gloves-atg-m-pk12-34-800m/i/G9127942/
112,Showa,"Foam Nitrile Coated Gloves, Palm Coverage, Black/Blue, M, PR",product price: $4.85,https://www.zoro.com//showa-foam-nitrile-coated-gloves-palm-coverage-blackblue-m-pr-380m-07/i/G0052665/
113,Pip,"Latex Coated Gloves, Palm Coverage, Natural/Blue, XL, 12PK",product price: $13.69,https://www.zoro.com//pip-latex-coated-gloves-palm-coverage-naturalblue-xl-12pk-39-c122xl/i/G9321678/
114,Ammex,"Nitrile Disposable Gloves, 8 mil Palm, Nitrile, Powder-Free, XL, 100 PK, Orange",product price: $34.35,https://www.zoro.com//ammex-nitrile-disposable-gloves-8-mil-palm-nitrile-powder-free-xl-100-pk-orange-gwon48100/i/G508597535/
